speaker no	full name	name	surname (pronouns??)	company	title	bio	thumbnailUrl	rockstar	ribbon	social
17	Betsy Alpert (she/they)	Betsy	Alpert (she/they)	;	;	Elizabeth (Betsy) Alpert is a Senior Developer / Data Scientist at the Australian Digital Observatory, a QUT Research Infrastructure facility. Betsy is a backend software developer by background who loves databases and data modelling and all things data structures. Outside of work, Betsy is likely to be found reading a speculative fiction book with a cat and a cup of tea, or knitting in front of cozy whodunnit tv shows.	;	;	;	;
18	Eliza Howard (she/her)	Eliza	Howard (she/her)	;	;	Eliza is an independent consultant & facilitator. She is a former Fulbright Scholar (2005/2006) who post-PhD became a leader in research education and strategy. As a sole-trader consultant, she leads large projects for clients, hosts workshops for researchers, Higher Degree by Research candidates, and organisations conducting their own research projects, and develops research and project strategy. She was named a LinkedIn Top Voice in 2022 for writing extensively on 'mumemployment' and the complicated intersections between professional and family life.	;	;	;	;
19	Sonia Ramza	Sonia	Ramza	;	;	Sonia Ramza is the User Support Manager for the Nectar Cloud, previously having been in training & community roles.	;	;	;	;
20	Rani McLennan	Rani	McLennan	;	;	Rani McLennan is the Copyright Information Officer at Queensland University of Technology (QUT) and the Open Educational Resource (OER) Collective Project Officer at the Council of Australian University Librarians (CAUL). She has over a decade of experience in public, school, and academic libraries. Her interests include the communication of complex information through text and visuals and openly licensed image collections. 	;	;	;	;
21	Valentina Urrutia Guada	Valentina	Urrutia Guada	;	;	Valentina is a Technology Trainer at the University of Queensland Library	;	;	;	;
22	Christina Buelow (she/her)	Christina	Buelow (she/her)	;	;	;	;	;	;	;
23	Nicholas Wiggins (he/him)	Nicholas	Wiggins (he/him)	;	;	Nicholas is a Technology Trainer at the Univeristy of Queensland Library. He has a background in Archaeology, IT, GIS, Ecology, and Palaeoecology. He currently runs the UQ R User Group, and provides training in R, QGIS, Python, Git, and a variety of other research related software. He is always open to learn more.	;	;	;	;
24	Catherine Kim (she/her)	Catherine	Kim (she/her)	;	;	Catherine is a postdoctoral researcher in the School of Earth and Atmospheric Sciences at the Queensland University of Technology. Currently, she is modelling generation of coral rubble across the Great Barrier Reef for the Reef Restoration and Adaptation Program.	;	;	;	;
25	Mark Crowe (he/him)	Mark	Crowe (he/him)	;	;	Mark leads the Skills Development group at QCIF and runs a program of digital skills training workshops, attended by nearly 3000 researchers annually. He is an Instructor and Instructor Trainer with the Carpentries, an internation coding and data science training organisation, and is the chair of the Carpentries Trainers Leadership Committee.	;	;	;	;
26	Rosie Glynn (she/her)	Rosie	Glynn (she/her)	;	;	Rosie Glynn is the Liaison librarian for the nursing school at QUT. She has over eight years of experience in searching and methodological advice for evidence synthesis, learning design and digital literacy instruction.	;	;	;	;
27	Emma Nelms (she/her)	Emma	Nelms (she/her)	;	;	Emma Nelms is a liaison librarian for QUT Business School, Oodgeroo Unit & Carumba Institute, as well as AI champion and Library Workshops coordinator. Her professional interests include digital literacy, decolonisation and empowering users.	;	;	;	;
28	Ashar (He/him/his)	Ashar	(He/him/his)	;	;	Ashar completed his PhD, in 2018, in the area of computational biochemistry from Massey University in Auckland, New Zealand and has since been working as a postdoc, first at the Bioinformatics Institute at the Agency for Science, Technology and Research in Singapore and currently at Baker Heart and Diabetes Institute, Melbourne and the University of Queensland, Brisbane. His primary work focuses on exploring polymorphisms in the human genome and their phenotypic effects. Additionally he also explores the area of structural phylogenetics and quantum computing. He is also a science communication enthusiast and loves to engage with incoming researchers on potential new computational methodologies that can be employed to enhance the quality of research. He is also an instructor with Software Carpentry and routinely conducts scientific computing workshops. (Twitter/Instagram: @Proteinmechanic)	;	;	;	;
29	David Tuffley	David	Tuffley	;	;	;	;	;	;	;
30	David Green	David	Green	;	;	;	;	;	;	;
31	Marlies Hankel	Marlies	Hankel	;	;	Marlies Hankel is a eResearch Analysts in QCIF and Research Computing Centre at UQ. She obtained her master in mathematics in Germany and her PhD in chemistry in the UK. She has been a senior research fellow at the Australian Institute for Bioengineering and Nanotechnology and senior lecture in the School of Mathematics at UQ. During this time she was a heavy user of HPC and teaching many students to use HPC in their work. She has built and managed 4 HPC clusters during her time at AIBN. In QCIF and RCC she is helping users navigate HPC and transition their workloads.	;	;	;	;
32	Lachlan McKinnie	Lachlan	McKinnie	;	;	I am a PhD student at the University of the Sunshine Coast researching red algal genetics and metabolic pathway reconstruction using bioinformatics. My work involves the functional annotation and investigation of genomes and transcriptomes, and I regularly code in Python for my research, including web design using Python Flask.  ORCiD: 0000-0002-4996-5941	;	;	;	;
33	Eduardo Klein	Eduardo	Klein	;	;	With over 30 years of experience in tropical marine ecology and conservation, Eduardo Klein has worked extensively in the Caribbean region and more recently in the GBR. He has established strong connections with multilateral organisations that specialise in biodiversity conservation and data, such as OBIS and the marine program of the Convention for Biological Diversity. Currently, he leads the Reef Data Services & Infrastructure program at IMOS.	;	;	;	;
34	Senn Oon	Senn	Oon	;	;	Senn Oon (they/them) is studying a Master of Information Science (Extended) at Curtin University with the ultimate aim of becoming a university librarian. By day, you can find them assisting in QCIF's coding workshops and thinking about data management. By night, you can find them making games and cuddling cats.	;	;	;	;
35	Min Zhao	Min	Zhao	;	Senior Research Fellow, Bioinformatics and Genomics	Dr. Min Zhao has about 20 years of experience in the field of bioinformatics and genomics. His research focuses on the investigation of regulatory machines in aquatic genomes and disease genomes. In addition to 4 review manuscripts, he has published 90 research papers in peer-reviewed international journals including 50 first and corresponding author papers in total. In total, his papers have been cited over 4000+ times (H-index 31). About 50% of his publications are presented in the top 10% most cited papers worldwide in Scopus database. Additionally, ten of his manuscripts have been published in very high profile journals (top 5%; including Nature, Nature communication, cell research, American Journal of Respiratory and Critical Care Medicine, Nucleic Acids Research, Molecular ecology resource). The research articles include author contributions from a diversity of institutions/universities external from USC and International (primarily USA, Japan, China, and Thailand). He currently leads as Chief Investigator 1 ARC Discovery Projects (with USC as administering organisation), and is co-contributor for Reef2050 grant.	;	;	;	;
36	Shern Tee	Shern	Tee	;	;	;	;	;	;	;
37	Fei Yu	Fei	Yu	;	;	;	;	;	;	;
38	Susan Wilson	Susan	Wilson	;	;	;	;	;	;	;
39	Adam Ewing	Adam	Ewing	;	;	;	;	;	;	;
40	Caitie Kuempel	Caitie	Kuempel	;	;	I am a conservation scientist with interests in sustainable seafood, land-sea interactions, and conservation planning. I am passionate about finding ways to meet the needs of the growing human population while minimising impacts on the environment – particularly in the world’s oceans. I completed my PhD at the University of Queensland in protected area design and evaluation, followed by post-doctoral positions at NCEAS UC Santa Barbara mapping impacts of the global food system and University of Queensland exploring ways to manage and monitor climate resilient reefs to benefit people and nature. I also holds degrees in marine biology (M.S.), environmental science (B.S.) and French (B.A.).	;	;	;	;
41	Siddeswara Guru (he/him)	Siddeswara	Guru (he/him)	;	;	Siddeswara Guru is a program lead of TERN Data Services and Analytics Platform. He lead a team to build data infrastructure to TERN observing and stakeholders datasets.	;	;	;	;
1	Rob McLellan	Rob	McLellan	;	;	;	;	;	;	;
2	Rachel Huang	Rachel	Huang	;	;	Rachel Huang is the winner of the Women in Technology Up-and-Comer Technology Award, an entrepreneur who has founded two start-up companies previously and experience as UQ's Chief Student Entrepreneur, and a highly-regarded innovator and thought-leader in the technology start-up ecosystem. She holds a dual degree from UQ in Biological and Chemical Engineering and Biomedical Science, and is addressing the world’s biggest problems through technology and innovation. She is currently a consultant helping research projects commercialise and start-up companies grow. In addition, she serves as a board member at Junior Chamber International Brisbane Chapter where she pursues her passionate about helping young professionals develop their career and find meaningful work. 	;	;	;	;
3	Paul Bonnington	Paul	Bonnington	;	;	;	;	;	;	;
4	Jack Wang	Jack	Wang	;	;	;	;	;	;	;
5	Michael Milford	Michael	Milford	;	;	;	;	;	;	;
6	Heidi Perrett	Heidi	Perrett	;	;	;	;	;	;	;
42	Alex de Sá	Alex	de Sá	;	;	Alex holds a PhD, in 2019, in Computer Science from the Federal University of Minas Gerais (UFMG), Brazil. He is a postdoctoral researcher at the Computational Biology and Clinical Informatics laboratory at the Baker Heart and Diabetes Institute, with an honorary fellowship at the University of Queensland. His research is centered on bio(chem)informatics, health informatics and automated machine learning (AutoML). Particularly, he is interested in automating data science, i.e., employing optimisation methods to select proper machine learning algorithms and models for any dataset of interest. Currently, he is employing this knowledge in chemical, medical and biological data. (Twitter/LinkedIn: @alexgcsa).	;	;	;	;
43	Cameron Rutter	Cameron	Rutter	;	;	Cameron Rutter is the acting University Copyright Officer at Queensland University of Technology. He has been working in academic libraries for over fifteen years across a wide range of roles.	;	;	;	;
44	Bran Stokes (he/they)	Bran	Stokes (he/they)	;	;	Bran (he/they) has a passion for helping others self-improve. He has a background in both law and journalism and is currently working for a not-for-profit as a facilitator and program manager. As his day-to-day involves upskilling high school students and adults on transferable skills.	;	;	;	;
45	Andres Felipe Suarez-Castro	Andres	Felipe Suarez-Castro	;	;	Dr Suarez-Castro is a spatial ecologist who uses a diverse range of spatial statistical techniques, remote sensing and geographic data to predict the ecological causes and consequences of environmental change across spatial and temporal scales. Currently, his research focuses on optimizing the selection of areas that can maximize biodiversity conservation and ecosystem service provisioning across spatial scales in human-dominated landscapes. He is engaged in multidisciplinary projects that require advanced computational skills for handling large databases and complex spatial data, as well as liaising and collaborating with a big range of stakeholders. In addition to his academic outputs that have resulted in more than 1400 citations, Dr Suarez-Castro regularly act in a range of service roles, providing advice to urban and regional planners, environmental consultants, and government institutions. 	;	;	;	;
46	Kathryn Hall (she/her)	Kathryn	Hall (she/her)	;	;	Kathryn Hall is the Product Champion for the Australian Reference Genome Atlas (ARGA) Project, and is part of the Atlas of Living Australia (CSIRO). She has a background in animal taxonomy, with a special focus on marine invertebrates. Kathryn has always worked to integrate genetic data with other biological data to inform her taxonomic process, and is very proud now to be overseeing the ARGA Project team as they build the ARGA platform. ARGA aims to help researchers discover data within biological and ecological contexts for all Australian biota.	;	;	;	;
47	Keeva Connolly (she/her)	Keeva	Connolly (she/her)	;	;	Keeva Connolly is a scientific business analyst with the Australian BioCommons, and works full time on the ARGA project. As part of her role, she speaks with researchers to better understand their challenges when searching for genomic data and how they can be addressed. Before starting at the Australian BioCommons, she studied a Bachelor of Genetics (Hons) at the Australian National University and worked for the Department of Agriculture, Water and the Environment (now DAFF) in plant biosecurity.	;	;	;	;
48	Kasia Koziara	Kasia	Koziara	;	;	;	;	;	;	;
